Counter,MsgTimeMean(ms),MsgTimeStd(ms)
0,17.405,1.081
1,17.331,0.905
2,17.222,0.928
3,18.624,1.279
4,15.189,2.341
5,18.862,1.096
6,16.582,0.986
7,17.562,0.972
8,15.123,0.838
9,13.071,3.423
10,15.441,2.895
11,17.821,1.166
12,18.045,0.991
13,17.485,0.944
14,15.726,3.808
15,16.724,0.774
16,12.987,4.014
17,13.797,0.873
18,15.665,2.457
19,16.161,1.107
20,17.832,1.224
21,19.009,1.225
22,18.26,1.043
23,13.161,4.504
24,17.863,0.996
25,18.495,1.31
26,18.402,1.135
27,18.2,1.225
28,18.488,1.139
29,15.074,0.69
30,13.51,3.479
31,16.807,1.172
32,18.481,1.23
33,13.018,4.297
34,18.067,1.112
35,16.114,3.662
36,13.154,1.827
37,17.922,1.142
38,17.01,0.912
39,17.647,1.3
40,17.538,1.216
41,17.558,0.981
42,17.346,1.102
43,18.156,1.18
44,17.65,1.007
45,17.56,1.005
46,17.986,1.085
47,17.194,1.053
48,15.034,4.261
49,10.36,1.656
50,13.447,4.072
51,17.725,1.126
52,16.537,0.863
53,17.237,1.03
54,16.598,0.839
55,13.737,0.627
56,17.351,1.149
57,18.865,1.265
58,16.519,1.191
59,15.913,1.406
60,17.023,1.032
61,16.985,1.027
62,16.468,3.284
63,17.392,0.916
64,16.402,1.641
65,15.701,1.829
66,16.52,1.573
67,16.548,0.887
68,16.323,0.645
69,17.623,0.958
70,17.236,1.105
71,18.306,1.188
72,18.489,1.351
73,12.267,3.294
74,18.518,1.179
75,17.437,0.749
76,15.989,1.177
77,18.791,1.255
78,17.869,1.059
79,17.436,1.012
80,17.252,1.065
81,14.012,1.461
82,16.449,0.908
83,12.029,3.25
84,17.392,0.922
85,18.134,1.096
86,14.243,0.896
87,18.549,1.285
88,12.315,3.815
89,16.36,3.53
90,17.343,0.951
91,14.224,3.84
92,13.041,0.905
93,17.485,1.056
94,18.102,1.165
95,16.935,0.927
96,17.262,1.129
97,17.81,1.208
98,15.906,0.886
99,18.63,1.3
100,17.624,1.06
101,14.254,1.999
102,14.953,0.657
103,18.722,1.256
104,18.924,1.055
105,16.877,1.035
106,17.758,1.15
107,17.527,1.076
108,14.261,4.202
109,17.8,1.358
110,18.988,1.226
111,17.028,1.059
112,17.636,1.249
113,16.969,0.807
114,18.65,1.201
115,16.735,1.044
116,13.191,1.031
117,17.582,0.995
118,18.96,1.243
119,15.868,3.417
120,17.514,1.297
121,16.877,0.825
122,18.677,1.354
123,17.353,0.925
124,18.163,1.199
125,17.745,1.044
126,14.02,4.134
127,16.14,1.195
128,14.228,0.947
129,17.028,0.952
130,11.874,3.326
131,17.769,1.272
132,17.547,0.907
133,13.831,0.851
134,16.178,2.866
135,15.492,0.855
136,17.133,0.869
137,15.92,1.112
138,18.153,1.153
139,17.197,1.082
140,17.085,0.913
141,17.691,1.087
142,18.669,1.167
143,14.128,2.972
144,10.506,3.086
145,16.641,0.854
146,17.284,1.886
147,14.644,4.137
148,19.381,1.243
149,16.64,1.075
150,15.153,3.579
151,12.737,0.797
152,18.459,1.279
153,18.474,1.318
154,16.492,1.627
155,17.758,0.989
156,9.721,2.304
157,15.975,1.369
158,19.02,1.256
159,16.829,1.182
160,17.591,1.644
161,11.8,3.549
162,17.607,2.341
163,18.717,1.183
164,17.894,0.999
165,17.183,1.102
166,17.586,1.068
167,17.301,0.946
168,17.478,0.969
169,17.794,1.043
170,16.931,0.86
171,16.145,0.725
172,13.942,2.74
173,17.652,1.066
174,18.475,1.229
175,9.983,0.754
176,15.705,1.065
177,18.593,1.134
178,17.59,0.94
179,12.782,3.725
180,17.911,1.208
181,9.246,1.761
182,16.699,1.83
183,12.373,4.074
184,17.828,1.226
185,13.048,3.721
186,17.644,0.862
187,17.681,0.963
188,17.069,2.688
189,18.168,1.326
190,14.205,4.36
191,17.349,0.786
192,17.804,1.112
193,18.084,1.201
194,17.196,2.05
195,18.942,1.233
196,17.117,2.186
197,17.373,1.729
198,17.227,1.002
199,17.753,1.924
200,17.125,0.905
201,17.872,1.165
202,17.472,1.164
203,14.5,2.327
204,18.363,1.348
205,16.801,0.957
206,11.205,3.169
207,11.291,3.653
208,18.327,1.159
209,15.955,0.703
210,16.074,2.455
211,18.212,1.261
212,16.829,1.401
213,17.776,0.968
214,17.785,1.145
215,17.778,1.095
216,17.987,1.051
217,14.773,0.926
218,14.94,1.19
219,14.298,2.909
220,14.01,4.537
221,18.204,1.094
222,16.305,0.763
223,17.744,1.026
224,18.173,1.148
225,18.897,1.088
226,17.233,1.052
227,13.356,2.402
228,18.188,1.483
229,18.08,1.062
230,18.177,1.104
231,18.654,1.198
232,18.136,1.249
233,18.517,1.212
234,16.836,0.974
235,16.447,1.003
236,16.142,0.815
237,18.13,1.027
238,17.579,0.969
239,16.772,0.861
240,17.87,1.116
241,12.415,4.471
242,15.912,0.738
243,17.476,1.031
244,11.296,3.276
245,18.029,1.005
246,14.102,0.682
247,16.001,0.823
248,18.277,1.104
249,18.404,1.196
250,14.149,4.3
251,16.361,1.202
252,17.917,0.947
253,15.271,1.912
254,14.969,4.708
255,11.845,3.39
256,19.123,1.237
257,18.404,1.115
258,15.468,1.152
259,18.718,1.575
260,17.457,1.187
261,17.881,1.109
262,16.787,0.859
263,19.282,1.24
264,17.8,1.196
265,13.17,4.325
266,16.875,0.915
