Counter,MsgTimeMean(ms),MsgTimeStd(ms)
0,18.685,1.286
1,17.061,0.942
2,16.46,0.695
3,12.794,3.822
4,17.245,0.919
5,18.113,1.296
6,18.022,1.327
7,18.67,1.162
8,16.654,0.827
9,19.156,1.419
10,14.534,0.917
11,17.293,1.201
12,16.465,0.964
13,18.074,0.98
14,18.571,1.213
15,13.784,4.477
16,18.169,1.211
17,18.656,1.092
18,15.163,1.363
19,17.442,1.01
20,13.034,3.397
21,15.768,1.112
22,18.156,1.126
23,16.962,0.928
24,18.419,1.084
25,17.097,1.525
26,17.858,1.02
27,18.254,1.154
28,18.005,0.922
29,18.22,1.179
30,15.962,1.544
31,17.442,1.02
32,24.537,8.48
33,41.975,6.071
34,36.743,5.914
35,39.74,7.639
36,17.285,4.24
37,42.391,8.09
38,46.777,4.968
39,24.728,8.763
40,42.038,7.066
41,33.088,10.888
42,39.304,7.233
43,40.185,6.872
44,36.395,6.352
45,43.809,7.867
46,10.522,2.555
47,37.328,6.806
48,43.932,7.887
49,38.173,6.439
50,37.099,5.806
51,29.568,4.054
52,40.21,6.03
53,36.817,6.566
54,38.399,6.824
55,23.131,6.847
56,20.747,3.722
57,37.913,6.199
58,37.534,5.296
59,41.29,5.695
60,33.202,11.274
61,34.159,10.18
62,27.652,9.564
63,36.848,9.043
64,21.135,5.238
65,30.879,11.092
66,25.338,9.715
67,29.295,4.917
68,40.647,5.202
69,18.223,5.871
70,22.7,3.028
71,16.408,4.321
72,43.246,6.432
73,16.011,3.85
74,21.37,8.888
75,19.135,6.287
76,17.445,3.571
77,30.108,10.411
78,18.972,7.742
79,22.765,6.515
80,32.189,10.439
81,42.942,7.393
82,35.74,6.053
83,32.805,6.105
84,38.269,6.927
85,39.09,5.76
86,23.553,6.911
87,32.354,5.4
88,29.088,9.93
89,39.31,6.374
90,41.06,6.117
91,24.958,5.124
92,43.11,6.873
93,29.635,5.076
,,
,,
,,
,,29.50412903
,,2.058673401
