Counter,MsgTimeMean(ms),MsgTimeStd(ms)
0,17.013,0.746
1,8.776,0.326
2,19.387,0.576
3,15.655,0.661
4,14.823,0.85
5,14.413,0.851
6,15.036,0.932
7,11.686,1.459
8,15.896,0.788
9,15.647,0.785
10,17.13,0.724
11,7.6,0.691
12,22.774,0.736
13,17.691,0.603
14,21.579,0.578
15,15.602,0.687
16,24.888,0.787
17,10.632,1.078
18,9.385,0.637
19,16.544,0.64
20,8.568,0.436
21,21.906,1.032
22,15.598,0.472
23,15.109,0.62
24,18.991,0.676
25,17.315,0.6
26,16.068,1.413
27,9.312,0.539
28,12.141,0.561
29,7.246,0.608
30,20.025,0.535
31,16.849,0.733
32,6.817,0.34
33,21.064,0.622
34,12.688,0.713
35,6.175,0.422
36,13.09,1.082
37,16.073,0.854
38,22.551,0.54
39,7.561,0.299
40,18.971,0.717
41,8.683,0.352
42,18.578,2.312
43,29.968,2.738
44,12.934,0.497
45,15.771,0.849
46,10.393,2.822
47,15.971,0.816
