Counter,MsgTimeMean(ms),MsgTimeStd(ms)
0,40.821,7.494
1,22.06,1.789
2,33.966,3.871
3,13.918,1.181
4,38.366,4.959
5,23.275,1.662
6,36.59,4.468
7,20.908,3.25
8,33.312,4.801
9,28.776,2.902
10,26.639,5.443
11,37.586,4.855
12,27.526,2.866
13,49.513,6.17
14,15.863,1.588
15,40.199,5.751
16,18.809,1.229
17,42.172,6.372
18,13.901,1.279
19,42.187,7.033
20,25.047,3.655
21,36.03,6.283
22,11.494,0.897
23,29.142,7.608
24,22.38,2.689
25,31.837,4.191
26,20.461,1.671
27,43.297,5.998
28,23.164,1.77
29,45.392,6.227
30,12.024,1.404
